SCHOOL_YEAR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,CTE_PROGRAM_NUM,CTE_PROGRAM_NAME,COMPLETER_CNT
2014-2015,DIV,1,Accomack County ,,,,M,N,,Y,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,,M,N,,,1501,Engineering and Technology,16
2014-2015,DIV,1,Accomack County ,,,,M,,N,Y,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,,M,,N,,1501,Engineering and Technology,17
2014-2015,DIV,1,Accomack County ,,,,M,,,Y,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,,M,,,,1501,Engineering and Technology,17
2014-2015,DIV,1,Accomack County ,,,,,N,N,Y,1501,Engineering and Technology,12
2014-2015,DIV,1,Accomack County ,,,,,N,N,,1501,Engineering and Technology,18
2014-2015,DIV,1,Accomack County ,,,,,N,,Y,1501,Engineering and Technology,12
2014-2015,DIV,1,Accomack County ,,,,,N,,,1501,Engineering and Technology,18
2014-2015,DIV,1,Accomack County ,,,,,,N,Y,1501,Engineering and Technology,12
2014-2015,DIV,1,Accomack County ,,,,,,N,,1501,Engineering and Technology,19
2014-2015,DIV,1,Accomack County ,,,,,,,Y,1501,Engineering and Technology,12
2014-2015,DIV,1,Accomack County ,,,,,,,,1501,Engineering and Technology,19
2014-2015,DIV,1,Accomack County ,,,3,F,N,N,Y,,,23
2014-2015,DIV,1,Accomack County ,,,3,F,N,N,,,,30
2014-2015,DIV,1,Accomack County ,,,3,F,N,,Y,,,23
2014-2015,DIV,1,Accomack County ,,,3,F,N,,,,,30
2014-2015,DIV,1,Accomack County ,,,3,F,,N,Y,,,24
2014-2015,DIV,1,Accomack County ,,,3,F,,N,,,,31
2014-2015,DIV,1,Accomack County ,,,3,F,,,Y,,,24
2014-2015,DIV,1,Accomack County ,,,3,F,,,,,,31
2014-2015,DIV,1,Accomack County ,,,3,M,N,N,Y,,,27
2014-2015,DIV,1,Accomack County ,,,3,M,N,N,,,,31
2014-2015,DIV,1,Accomack County ,,,3,M,N,,Y,,,28
2014-2015,DIV,1,Accomack County ,,,3,M,N,,,,,32
2014-2015,DIV,1,Accomack County ,,,3,M,,N,Y,,,28
2014-2015,DIV,1,Accomack County ,,,3,M,,N,,,,32
2014-2015,DIV,1,Accomack County ,,,3,M,,,Y,,,29
2014-2015,DIV,1,Accomack County ,,,3,M,,,,,,33
2014-2015,DIV,1,Accomack County ,,,3,,N,N,N,,,11
2014-2015,DIV,1,Accomack County ,,,3,,N,N,Y,,,50
2014-2015,DIV,1,Accomack County ,,,3,,N,N,,,,61
2014-2015,DIV,1,Accomack County ,,,3,,N,,N,,,11
2014-2015,DIV,1,Accomack County ,,,3,,N,,Y,,,51
2014-2015,DIV,1,Accomack County ,,,3,,N,,,,,62
2014-2015,DIV,1,Accomack County ,,,3,,,N,N,,,11
2014-2015,DIV,1,Accomack County ,,,3,,,N,Y,,,52
2014-2015,DIV,1,Accomack County ,,,3,,,N,,,,63
2014-2015,DIV,1,Accomack County ,,,3,,,,N,,,11
2014-2015,DIV,1,Accomack County ,,,3,,,,Y,,,53
2014-2015,DIV,1,Accomack County ,,,3,,,,,,,64
2014-2015,DIV,1,Accomack County ,,,4,F,N,,Y,,,14
2014-2015,DIV,1,Accomack County ,,,4,F,N,,,,,14
2014-2015,DIV,1,Accomack County ,,,4,F,,,Y,,,14
2014-2015,DIV,1,Accomack County ,,,4,F,,,,,,14
2014-2015,DIV,1,Accomack County ,,,4,,N,N,Y,,,19
2014-2015,DIV,1,Accomack County ,,,4,,N,N,,,,19
2014-2015,DIV,1,Accomack County ,,,4,,N,,Y,,,24
2014-2015,DIV,1,Accomack County ,,,4,,N,,,,,24
2014-2015,DIV,1,Accomack County ,,,4,,,N,Y,,,19
2014-2015,DIV,1,Accomack County ,,,4,,,N,,,,19
2014-2015,DIV,1,Accomack County ,,,4,,,,Y,,,24
2014-2015,DIV,1,Accomack County ,,,4,,,,,,,24
2014-2015,DIV,1,Accomack County ,,,5,F,N,N,N,,,21
2014-2015,DIV,1,Accomack County ,,,5,F,N,N,Y,,,14
2014-2015,DIV,1,Accomack County ,,,5,F,N,N,,,,35
2014-2015,DIV,1,Accomack County ,,,5,F,N,,N,,,21
2014-2015,DIV,1,Accomack County ,,,5,F,N,,Y,,,14
2014-2015,DIV,1,Accomack County ,,,5,F,N,,,,,35
2014-2015,DIV,1,Accomack County ,,,5,F,,N,N,,,21
2014-2015,DIV,1,Accomack County ,,,5,F,,N,Y,,,17
2014-2015,DIV,1,Accomack County ,,,5,F,,N,,,,38
2014-2015,DIV,1,Accomack County ,,,5,F,,,N,,,21
2014-2015,DIV,1,Accomack County ,,,5,F,,,Y,,,17
2014-2015,DIV,1,Accomack County ,,,5,F,,,,,,38
2014-2015,DIV,1,Accomack County ,,,5,M,N,N,N,,,26
2014-2015,DIV,1,Accomack County ,,,5,M,N,N,Y,,,16
2014-2015,DIV,1,Accomack County ,,,5,M,N,N,,,,42
2014-2015,DIV,1,Accomack County ,,,5,M,N,,N,,,26
2014-2015,DIV,1,Accomack County ,,,5,M,N,,Y,,,16
2014-2015,DIV,1,Accomack County ,,,5,M,N,,,,,42
2014-2015,DIV,1,Accomack County ,,,5,M,,N,N,,,28
2014-2015,DIV,1,Accomack County ,,,5,M,,N,Y,,,17
2014-2015,DIV,1,Accomack County ,,,5,M,,N,,,,45
2014-2015,DIV,1,Accomack County ,,,5,M,,,N,,,28
2014-2015,DIV,1,Accomack County ,,,5,M,,,Y,,,17
2014-2015,DIV,1,Accomack County ,,,5,M,,,,,,45
2014-2015,DIV,1,Accomack County ,,,5,,N,N,N,,,47
2014-2015,DIV,1,Accomack County ,,,5,,N,N,Y,,,30
2014-2015,DIV,1,Accomack County ,,,5,,N,N,,,,77
2014-2015,DIV,1,Accomack County ,,,5,,N,,N,,,47
2014-2015,DIV,1,Accomack County ,,,5,,N,,Y,,,30
2014-2015,DIV,1,Accomack County ,,,5,,N,,,,,77
2014-2015,DIV,1,Accomack County ,,,5,,,N,N,,,49
2014-2015,DIV,1,Accomack County ,,,5,,,N,Y,,,34
2014-2015,DIV,1,Accomack County ,,,5,,,N,,,,83
2014-2015,DIV,1,Accomack County ,,,5,,,,N,,,49
2014-2015,DIV,1,Accomack County ,,,5,,,,Y,,,34
2014-2015,DIV,1,Accomack County ,,,5,,,,,,,83
2014-2015,DIV,1,Accomack County ,,,,F,N,N,N,,,28
2014-2015,DIV,1,Accomack County ,,,,F,N,N,Y,,,48
2014-2015,DIV,1,Accomack County ,,,,F,N,N,,,,76
2014-2015,DIV,1,Accomack County ,,,,F,N,,N,,,28
2014-2015,DIV,1,Accomack County ,,,,F,N,,Y,,,52
2014-2015,DIV,1,Accomack County ,,,,F,N,,,,,80
2014-2015,DIV,1,Accomack County ,,,,F,,N,N,,,28
2014-2015,DIV,1,Accomack County ,,,,F,,N,Y,,,52
2014-2015,DIV,1,Accomack County ,,,,F,,N,,,,80
2014-2015,DIV,1,Accomack County ,,,,F,,,N,,,28
2014-2015,DIV,1,Accomack County ,,,,F,,,Y,,,56
2014-2015,DIV,1,Accomack County ,,,,F,,,,,,84
2014-2015,DIV,1,Accomack County ,,,,M,N,N,N,,,30
2014-2015,DIV,1,Accomack County ,,,,M,N,N,Y,,,53
2014-2015,DIV,1,Accomack County ,,,,M,N,N,,,,83
2014-2015,DIV,1,Accomack County ,,,,M,N,,N,,,31
2014-2015,DIV,1,Accomack County ,,,,M,N,,Y,,,56
2014-2015,DIV,1,Accomack County ,,,,M,N,,,,,87
2014-2015,DIV,1,Accomack County ,,,,M,,N,N,,,32
2014-2015,DIV,1,Accomack County ,,,,M,,N,Y,,,55
2014-2015,DIV,1,Accomack County ,,,,M,,N,,,,87
2014-2015,DIV,1,Accomack County ,,,,M,,,N,,,33
2014-2015,DIV,1,Accomack County ,,,,M,,,Y,,,58
2014-2015,DIV,1,Accomack County ,,,,M,,,,,,91
2014-2015,DIV,1,Accomack County ,,,,,N,N,N,,,58
2014-2015,DIV,1,Accomack County ,,,,,N,N,Y,,,101
2014-2015,DIV,1,Accomack County ,,,,,N,N,,,,159
2014-2015,DIV,1,Accomack County ,,,,,N,,N,,,59
2014-2015,DIV,1,Accomack County ,,,,,N,,Y,,,108
2014-2015,DIV,1,Accomack County ,,,,,N,,,,,167
2014-2015,DIV,1,Accomack County ,,,,,,N,N,,,60
2014-2015,DIV,1,Accomack County ,,,,,,N,Y,,,107
2014-2015,DIV,1,Accomack County ,,,,,,N,,,,167
2014-2015,DIV,1,Accomack County ,,,,,,,N,,,61
2014-2015,DIV,1,Accomack County ,,,,,,,Y,,,114
2014-2015,DIV,1,Accomack County ,,,,,,,,,,175
2014-2015,DIV,2,Albemarle County ,,,,,N,N,N,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,N,,N,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,N,,,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,,N,,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,,,N,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,,,,,,0201,Design/Pre-Construction,11
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,,0303,Visual Arts,11
2014-2015,DIV,2,Albemarle County ,,,5,,N,,,0303,Visual Arts,11
2014-2015,DIV,2,Albemarle County ,,,5,,,N,,0303,Visual Arts,12
2014-2015,DIV,2,Albemarle County ,,,5,,,,,0303,Visual Arts,12
2014-2015,DIV,2,Albemarle County ,,,,,N,N,N,0303,Visual Arts,11
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,0303,Visual Arts,15
2014-2015,DIV,2,Albemarle County ,,,,,N,,N,0303,Visual Arts,11
2014-2015,DIV,2,Albemarle County ,,,,,N,,,0303,Visual Arts,15
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,0303,Visual Arts,12
2014-2015,DIV,2,Albemarle County ,,,,,,N,,0303,Visual Arts,16
2014-2015,DIV,2,Albemarle County ,,,,,,,N,0303,Visual Arts,12
2014-2015,DIV,2,Albemarle County ,,,,,,,,0303,Visual Arts,16
2014-2015,DIV,2,Albemarle County ,,,5,,,N,N,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,5,,,N,,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,5,,,,N,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,5,,,,,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,,,N,,,0305,Journalism and Broadcasting,12
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,0305,Journalism and Broadcasting,13
2014-2015,DIV,2,Albemarle County ,,,,,,N,,0305,Journalism and Broadcasting,15
2014-2015,DIV,2,Albemarle County ,,,,,,,N,0305,Journalism and Broadcasting,13
2014-2015,DIV,2,Albemarle County ,,,,,,,,0305,Journalism and Broadcasting,15
2014-2015,DIV,2,Albemarle County ,,,,F,N,N,,0804,Support Services,12
2014-2015,DIV,2,Albemarle County ,,,,F,N,,,0804,Support Services,12
2014-2015,DIV,2,Albemarle County ,,,,F,,N,,0804,Support Services,14
2014-2015,DIV,2,Albemarle County ,,,,F,,,,0804,Support Services,14
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,0804,Support Services,12
2014-2015,DIV,2,Albemarle County ,,,,,N,,,0804,Support Services,12
2014-2015,DIV,2,Albemarle County ,,,,,,N,,0804,Support Services,14
2014-2015,DIV,2,Albemarle County ,,,,,,,,0804,Support Services,14
2014-2015,DIV,2,Albemarle County ,,,,,,,,0901,Restaurants and Food/Beverage Services,11
2014-2015,DIV,2,Albemarle County ,,,,F,N,N,,1004,Personal Care Services,11
2014-2015,DIV,2,Albemarle County ,,,,F,N,,,1004,Personal Care Services,11
2014-2015,DIV,2,Albemarle County ,,,,F,,N,,1004,Personal Care Services,13
2014-2015,DIV,2,Albemarle County ,,,,F,,,,1004,Personal Care Services,13
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,1004,Personal Care Services,11
2014-2015,DIV,2,Albemarle County ,,,,,N,,,1004,Personal Care Services,11
2014-2015,DIV,2,Albemarle County ,,,,,,N,,1004,Personal Care Services,13
2014-2015,DIV,2,Albemarle County ,,,,,,,,1004,Personal Care Services,13
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,N,1103,Web and Digital Communications,23
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,,1103,Web and Digital Communications,23
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,N,1103,Web and Digital Communications,24
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,,1103,Web and Digital Communications,25
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,N,1103,Web and Digital Communications,24
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,,1103,Web and Digital Communications,24
2014-2015,DIV,2,Albemarle County ,,,5,M,,,N,1103,Web and Digital Communications,25
2014-2015,DIV,2,Albemarle County ,,,5,M,,,,1103,Web and Digital Communications,26
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,N,1103,Web and Digital Communications,28
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,,1103,Web and Digital Communications,28
2014-2015,DIV,2,Albemarle County ,,,5,,N,,N,1103,Web and Digital Communications,29
2014-2015,DIV,2,Albemarle County ,,,5,,N,,,1103,Web and Digital Communications,30
2014-2015,DIV,2,Albemarle County ,,,5,,,N,N,1103,Web and Digital Communications,30
2014-2015,DIV,2,Albemarle County ,,,5,,,N,,1103,Web and Digital Communications,30
2014-2015,DIV,2,Albemarle County ,,,5,,,,N,1103,Web and Digital Communications,31
2014-2015,DIV,2,Albemarle County ,,,5,,,,,1103,Web and Digital Communications,32
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,N,1103,Web and Digital Communications,26
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,,1103,Web and Digital Communications,30
2014-2015,DIV,2,Albemarle County ,,,,M,N,,N,1103,Web and Digital Communications,27
2014-2015,DIV,2,Albemarle County ,,,,M,N,,,1103,Web and Digital Communications,34
2014-2015,DIV,2,Albemarle County ,,,,M,,N,N,1103,Web and Digital Communications,27
2014-2015,DIV,2,Albemarle County ,,,,M,,N,,1103,Web and Digital Communications,31
2014-2015,DIV,2,Albemarle County ,,,,M,,,N,1103,Web and Digital Communications,28
2014-2015,DIV,2,Albemarle County ,,,,M,,,,1103,Web and Digital Communications,35
2014-2015,DIV,2,Albemarle County ,,,,,N,N,N,1103,Web and Digital Communications,32
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,1103,Web and Digital Communications,37
2014-2015,DIV,2,Albemarle County ,,,,,N,,N,1103,Web and Digital Communications,33
2014-2015,DIV,2,Albemarle County ,,,,,N,,,1103,Web and Digital Communications,41
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,1103,Web and Digital Communications,34
2014-2015,DIV,2,Albemarle County ,,,,,,N,,1103,Web and Digital Communications,39
2014-2015,DIV,2,Albemarle County ,,,,,,,N,1103,Web and Digital Communications,35
2014-2015,DIV,2,Albemarle County ,,,,,,,,1103,Web and Digital Communications,43
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,N,1104,Programming and Software Development,15
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,,1104,Programming and Software Development,19
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,N,1104,Programming and Software Development,16
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,,1104,Programming and Software Development,20
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,N,1104,Programming and Software Development,17
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,,1104,Programming and Software Development,21
2014-2015,DIV,2,Albemarle County ,,,5,M,,,N,1104,Programming and Software Development,18
2014-2015,DIV,2,Albemarle County ,,,5,M,,,,1104,Programming and Software Development,22
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,N,1104,Programming and Software Development,15
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,,1104,Programming and Software Development,19
2014-2015,DIV,2,Albemarle County ,,,5,,N,,N,1104,Programming and Software Development,16
2014-2015,DIV,2,Albemarle County ,,,5,,N,,,1104,Programming and Software Development,20
2014-2015,DIV,2,Albemarle County ,,,5,,,N,N,1104,Programming and Software Development,17
2014-2015,DIV,2,Albemarle County ,,,5,,,N,,1104,Programming and Software Development,21
2014-2015,DIV,2,Albemarle County ,,,5,,,,N,1104,Programming and Software Development,18
2014-2015,DIV,2,Albemarle County ,,,5,,,,,1104,Programming and Software Development,22
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,N,1104,Programming and Software Development,20
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,,1104,Programming and Software Development,26
2014-2015,DIV,2,Albemarle County ,,,,M,N,,N,1104,Programming and Software Development,21
2014-2015,DIV,2,Albemarle County ,,,,M,N,,,1104,Programming and Software Development,27
2014-2015,DIV,2,Albemarle County ,,,,M,,N,N,1104,Programming and Software Development,22
2014-2015,DIV,2,Albemarle County ,,,,M,,N,,1104,Programming and Software Development,28
2014-2015,DIV,2,Albemarle County ,,,,M,,,N,1104,Programming and Software Development,23
2014-2015,DIV,2,Albemarle County ,,,,M,,,,1104,Programming and Software Development,29
2014-2015,DIV,2,Albemarle County ,,,,,N,N,N,1104,Programming and Software Development,20
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,1104,Programming and Software Development,26
2014-2015,DIV,2,Albemarle County ,,,,,N,,N,1104,Programming and Software Development,21
2014-2015,DIV,2,Albemarle County ,,,,,N,,,1104,Programming and Software Development,27
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,1104,Programming and Software Development,22
2014-2015,DIV,2,Albemarle County ,,,,,,N,,1104,Programming and Software Development,28
2014-2015,DIV,2,Albemarle County ,,,,,,,N,1104,Programming and Software Development,23
2014-2015,DIV,2,Albemarle County ,,,,,,,,1104,Programming and Software Development,29
2014-2015,DIV,2,Albemarle County ,,,3,M,N,N,,1401,Marketing Management,13
2014-2015,DIV,2,Albemarle County ,,,3,M,N,,,1401,Marketing Management,13
2014-2015,DIV,2,Albemarle County ,,,3,M,,N,,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,3,M,,,,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,3,,N,N,,1401,Marketing Management,13
2014-2015,DIV,2,Albemarle County ,,,3,,N,,,1401,Marketing Management,13
2014-2015,DIV,2,Albemarle County ,,,3,,,N,,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,3,,,,,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,N,1401,Marketing Management,33
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,N,1401,Marketing Management,33
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,N,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,M,,N,,1401,Marketing Management,37
2014-2015,DIV,2,Albemarle County ,,,5,M,,,N,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,M,,,,1401,Marketing Management,37
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,N,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,,N,N,,1401,Marketing Management,37
2014-2015,DIV,2,Albemarle County ,,,5,,N,,N,1401,Marketing Management,35
2014-2015,DIV,2,Albemarle County ,,,5,,N,,,1401,Marketing Management,37
2014-2015,DIV,2,Albemarle County ,,,5,,,N,N,1401,Marketing Management,38
2014-2015,DIV,2,Albemarle County ,,,5,,,N,,1401,Marketing Management,40
2014-2015,DIV,2,Albemarle County ,,,5,,,,N,1401,Marketing Management,38
2014-2015,DIV,2,Albemarle County ,,,5,,,,,1401,Marketing Management,40
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,N,1401,Marketing Management,44
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,Y,1401,Marketing Management,12
2014-2015,DIV,2,Albemarle County ,,,,M,N,N,,1401,Marketing Management,56
2014-2015,DIV,2,Albemarle County ,,,,M,N,,N,1401,Marketing Management,44
2014-2015,DIV,2,Albemarle County ,,,,M,N,,Y,1401,Marketing Management,12
2014-2015,DIV,2,Albemarle County ,,,,M,N,,,1401,Marketing Management,56
2014-2015,DIV,2,Albemarle County ,,,,M,,N,N,1401,Marketing Management,47
2014-2015,DIV,2,Albemarle County ,,,,M,,N,Y,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,,M,,N,,1401,Marketing Management,62
2014-2015,DIV,2,Albemarle County ,,,,M,,,N,1401,Marketing Management,47
2014-2015,DIV,2,Albemarle County ,,,,M,,,Y,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,,M,,,,1401,Marketing Management,62
2014-2015,DIV,2,Albemarle County ,,,,,N,N,N,1401,Marketing Management,46
2014-2015,DIV,2,Albemarle County ,,,,,N,N,Y,1401,Marketing Management,12
2014-2015,DIV,2,Albemarle County ,,,,,N,N,,1401,Marketing Management,58
2014-2015,DIV,2,Albemarle County ,,,,,N,,N,1401,Marketing Management,46
2014-2015,DIV,2,Albemarle County ,,,,,N,,Y,1401,Marketing Management,12
2014-2015,DIV,2,Albemarle County ,,,,,N,,,1401,Marketing Management,58
2014-2015,DIV,2,Albemarle County ,,,,,,N,N,1401,Marketing Management,50
2014-2015,DIV,2,Albemarle County ,,,,,,N,Y,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,,,,N,,1401,Marketing Management,65
2014-2015,DIV,2,Albemarle County ,,,,,,,N,1401,Marketing Management,50
2014-2015,DIV,2,Albemarle County ,,,,,,,Y,1401,Marketing Management,15
2014-2015,DIV,2,Albemarle County ,,,,,,,,1401,Marketing Management,65
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,N,1501,Engineering and Technology,16
2014-2015,DIV,2,Albemarle County ,,,5,M,N,N,,1501,Engineering and Technology,17
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,N,1501,Engineering and Technology,16
2014-2015,DIV,2,Albemarle County ,,,5,M,N,,,1501,Engineering and Technology,17
